# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 51, mean track length: 2.0980392156862746
1 -0.64695430956885847 0.24458553649262124 -0.48472665755801703 0 0 0 2.8660195068958343 2 14 1 6
2 -0.53321023617699193 0.51961611990601619 -0.90354701901462486 255 255 241 0.21888005856011455 2 12 1 18
4 0.47391920947798727 0.51271142321020702 -0.91222727553972105 253 239 185 0.090820655958486041 2 13 1 22
5 -0.5252736429486442 0.51595287370903264 -0.90763107685303068 210 200 167 0.70699913472836362 6 17 8 35
6 -0.59206871135645933 -0.23199789706772284 -1.8638716055201412 0 0 0 0.1175638961978233 2 70 4 69
8 0.49818493711699618 0.48425772717345178 -0.80223520984578345 0 0 0 1.0800961219406036 2 50 1 53
9 0.34938132911969588 0.51837004513615037 -0.26101593824901842 100 139 62 0.70730582169591605 2 78 1 95 4 228
11 -0.54163068916146984 0.49475218883616939 -0.30953948508211704 255 249 193 0.27789122797154703 5 840 1 257
12 -0.58518657441480648 0.54284123044717814 -0.90485527398119492 246 225 173 0.34270907277903417 2 183 1 269
13 -0.032818845992439581 0.47227738169154287 -0.14485658284053884 55 93 42 0.19021849935423987 2 340 1 309
14 -0.30478155283412189 0.50301619976908241 -0.17825892333246215 227 203 116 0.013091279961825006 2 438 1 311
15 -0.22728670104073712 0.43826276926429025 -0.1410794494504809 186 171 100 0.22893371219562977 2 243 1 343
18 0.22348913951915411 0.52128707145284203 -0.17834100464552596 72 99 43 0.18011564930383753 2 414 1 429 4 629
19 0.22348913951915411 0.52128707145284203 -0.17834100464552596 72 99 43 0.18011564930383753 2 452 1 435 4 584
20 0.016884847089343333 0.50811457181064767 -0.1607770936185893 68 100 45 0.12348248429105746 2 562 1 479
21 0.21891835577985047 0.49025278477998535 -0.16819367817481753 68 100 43 0.16076456830130975 2 566 1 585
23 -0.054137643824330561 0.47977343602235301 -0.1515761593572324 66 100 44 0.071527997773717086 2 515 1 588
24 -0.28395616659194428 0.49183879851314449 -0.16511653525307896 66 98 41 0.0019344663636467268 2 411 1 597
25 -0.080071609545453309 0.52321291233040523 -0.1624747760179831 225 204 118 0.22806185404586549 2 365 1 604
26 -0.30480281520003261 0.43455506765457319 -0.15281342896714761 70 89 42 0.059447081096314192 2 651 1 607
27 0.014518136282868275 0.52285592761521738 -0.16329329633675055 245 221 127 0.085796975315858851 2 611 4 1081 1 618
31 -0.28395616659194428 0.49183879851314449 -0.16511653525307896 66 98 41 0.0019344663636467268 2 435 1 655
33 0.2101970855524174 0.48523198268590945 -0.16471023723775016 240 220 129 0.19182951852636643 2 570 1 692 4 932
34 0.22907473594577868 0.50242111765545749 -0.17218896599070918 64 100 43 0.15183345814623384 4 889 1 698
35 0.21891835577985047 0.49025278477998535 -0.16819367817481753 68 100 43 0.16076456830130975 2 483 1 703
36 -0.024042751530483918 0.041101129308463852 -0.057655382629787644 65 86 47 0.031718685728456264 5 1714 7 1992
39 0.59751571476473342 -0.50640299723791027 -0.90063714162390729 196 176 158 0.44474628644164232 4 22 3 31
40 0.56942808304883519 -0.5516289640805464 -0.82778266296690983 1 1 1 2.9484087538511421 4 49 3 105
41 0.55052128546078283 0.24906741755113498 -0.3451236864724529 0 0 0 2.6999665514099522 4 328 3 301
42 0.61886833295351673 -0.48238184779818627 -0.53282181812252249 253 248 244 0.27942360629634511 4 512 3 438
43 0.40707229332029143 0.11115981858774482 -0.11272391219808917 183 169 102 0.0074347497552960003 4 562 3 508
44 0.3816718490379753 0.09979064005864989 -0.10563443976978373 189 173 105 0.024960974649090528 4 556 3 554
46 -0.093998256354472412 0.007754645154728043 -0.059591149346081826 182 164 104 0.0040173818197726443 7 251 5 210
47 0.22089991632396724 0.14890108663239665 -0.084061683795519926 152 149 104 0.10796927238181345 7 218 5 213
48 0.029465258953406119 0.0069271399610544467 -0.051787338818798746 177 161 104 0.16549152418077057 7 252 5 215
50 -0.0036834252907205966 -0.012405001439220529 -0.05282525925637805 44 78 41 0.15791130993541605 7 298 5 329
51 0.25335834227414511 0.12711487436000046 -0.08951011226236881 41 81 42 0.20925097185991504 7 315 5 330
53 -0.03288267767342451 0.037687893079571773 -0.053744414119321647 92 101 58 0.072941131105414919 7 479 5 394
55 0.23213821756694383 0.17435789269735472 -0.094752672402428212 42 81 41 0.033981415575297422 7 442 5 430
57 -0.0051767161364325411 0.23440987990210524 -0.078946402723381187 49 91 42 0.12062422229750587 7 552 5 512
58 0.21435495240930805 0.086467203959789435 -0.081498926226448623 126 127 83 0.016086656575887724 7 852 5 581
59 -0.10296636928454671 -0.14675882357530681 -0.043306755463154524 58 101 51 0.059324689936013864 7 1247 5 1087
60 0.20810366108711065 0.098037398589855856 -0.08701871017249177 157 150 102 0.095190209618331856 7 645 5 1135
63 0.2916584397801098 -0.10211969290004315 -0.07571236829076769 219 204 127 0.060481479755279031 7 1528 5 1284
64 0.26556085651039629 -0.10162042001765464 -0.070315753384265905 221 208 133 0.0015817366782788992 7 1526 5 1285
65 0.26556085651039629 -0.10162042001765464 -0.070315753384265905 221 208 133 0.0015817366782788992 7 1879 5 1423
66 0.3362893932659603 0.092881373062461955 -0.099685572027505179 58 94 46 0.20052689988485797 7 1308 5 1582
67 0.19906782569179701 -0.13119620794615011 -0.059928154569225442 61 98 48 0.026261965863868673 7 1521 5 1727
68 0.19906782569179701 -0.13119620794615011 -0.059928154569225442 61 98 48 0.026261965863868673 7 1905 5 1728
69 -0.66033007206791838 -0.37081773439337884 -0.26070641547801848 56 93 35 0.084104128569759393 8 1273 6 832
70 -0.65307020895819101 -0.40904064501883886 -0.2215900597905876 50 77 31 0.1532921850999977 8 2171 6 1451
